"cell_line","IC50","AAC","ENSG00000198793","ENSG00000138685","ENSG00000088832"
"JSC-1",40.4854740575615,0.138043082148594,4.91772683173263,3.48676394021779,3.4526789834801
"JVM-2",2.12207242830017,0.305321571933786,4.85675327250388,3.60009676557154,3.21195179714745
"KALS-1",5387.38668925016,0.201253798633421,5.05768729102652,4.21383496503399,3.27767041603217
"KCL-22",0.283089310182838,0.19651382197915,4.77603015379452,3.22325283142446,4.74157823522364
"KG-1",51.0214508502834,0.00408659526740031,5.25957275969905,3.30326079787146,5.26663731673082
"KGN",3.74864750525668,0.194649639195618,4.595211228339,8.28640253709187,3.88568681909641
"KM-H2",1.06366365574636,0.206494635829004,5.92013783991188,6.45286716518259,4.38980718586543
"KM12",6.54749348545904,0.0674193934143163,5.06461186129933,4.37679021875767,4.11761571695467
"KMOE-2",0.00769807865602228,0.762356056903218,5.13588145969353,3.41423862534611,3.02008581370132
"KMRC-20",13.3242746241354,0.014799918039314,4.96714142518192,6.53699359725294,4.11758329614594
"KOPN-8",3.91302977610166,0.251555571422157,5.4493492340138,3.24071226842796,3.73416067008601
"KP-4",0.00856427939432775,0.241758498074959,5.47422556459181,4.07965446043512,3.61047238372761
"KY821",16.7592490369297,0.00431961034109304,5.0204245012319,3.28837013610538,3.81552200409622
"KYSE-140",3.34705194510878,0.210205679179784,4.56864768436624,4.57788513343708,3.86392990068706
"KYSE-180",0.0222749302433137,0.524031286110287,4.48030071558244,3.50494157998385,3.18289552035765
"KYSE-270",0.761477223365683,0.2744372015379,5.63044148696843,4.2638080986771,3.8212367730937
"KYSE-520",1293.57946480311,0.12007135147048,5.53893624668818,6.43724826628026,5.39421437776944
"L-1236",5.03317675836825,0.0121499869150067,5.17571228078846,4.35820247107474,3.38547095610436
"L-363",8.02538822938402,0.0476021439140634,5.07195951921014,4.05778287951252,4.33847271331012
"LC4-1",0.79129784195243,0.371245914219527,5.06876417213719,3.38523529796332,3.67462865453482
"LCLC-103H",0.492205675248175,0.276980943841392,4.91956708782654,4.50062501941352,4.18489016060762
"LCLC-97TM1",3.02283808229528,0.240287725209062,4.37643798799264,2.97875293010236,3.63255203494198
"LN-18",102.574669627419,0.0600462688230299,5.3882311962382,6.09921772641263,3.81672138762092
"LOU-NH91",8.04281067096031,0.104004611003052,4.94238172151552,3.09163609657194,3.48233645935573
"LoVo",23.3740587243306,0.0474867109641011,4.04048739495914,5.80357426839504,5.79178397502018
"LP-1",0.706527628382701,0.389072926531916,4.81457120490842,3.82382650018173,3.25907590740247
