PARTICIPANT_A	COUNT
CHEBI:15729	14
CHEBI:15738	13
CHEBI:15741	26
CHEBI:15746	6
CHEBI:15756	10
CHEBI:15765	5
CHEBI:15768	4
CHEBI:15784	1
CHEBI:15792	1
CHEBI:15811	13
CHEBI:15816	1
CHEBI:15831	7
CHEBI:15837	1
CHEBI:15843	4
CHEBI:15851	1
CHEBI:15854	2
CHEBI:15882	1
CHEBI:15891	21
CHEBI:15903	25
CHEBI:15919	1
CHEBI:15939	6
CHEBI:15940	4
CHEBI:15946	4
CHEBI:15949	1
CHEBI:15956	9
CHEBI:15971	4
CHEBI:15978	2
CHEBI:15994	1
CHEBI:15996	10
CHEBI:15999	2
CHEBI:16000	1
CHEBI:160129	1
CHEBI:16015	69
CHEBI:16027	15
CHEBI:16038	2
CHEBI:16057	2
CHEBI:16069	9
CHEBI:16108	3
CHEBI:16109	1
CHEBI:16113	4
CHEBI:16118	1
CHEBI:16163	1
CHEBI:16196	6
CHEBI:16199	3
CHEBI:16217	1
CHEBI:16235	2
CHEBI:16236	52
CHEBI:16238	26
CHEBI:16243	27
CHEBI:16247	3
CHEBI:16264	4
CHEBI:16283	4
CHEBI:16284	1
CHEBI:16296	1
CHEBI:16300	1
CHEBI:16330	4
CHEBI:16335	4
CHEBI:16336	15
CHEBI:16344	1
CHEBI:16345	3
CHEBI:16347	11
CHEBI:16349	12
CHEBI:16356	3
CHEBI:16359	21
CHEBI:16367	1
CHEBI:16375	1
CHEBI:16393	2
CHEBI:16411	3
CHEBI:16414	3
CHEBI:164200	5
CHEBI:16422	3
CHEBI:16467	9
CHEBI:16469	10
CHEBI:16474	3
CHEBI:16480	3
CHEBI:16494	3
CHEBI:16497	1
CHEBI:16521	1
CHEBI:16523	3
CHEBI:16530	1
CHEBI:16533	1
CHEBI:16552	24
CHEBI:16556	1
CHEBI:16563	2
CHEBI:16581	2
CHEBI:16584	2
CHEBI:16586	3
CHEBI:16595	7
CHEBI:16610	3
CHEBI:16643	5
CHEBI:16660	1
CHEBI:16664	2
CHEBI:16680	11
CHEBI:16684	8
CHEBI:16695	5
CHEBI:16698	2
CHEBI:16704	1
CHEBI:16708	6
CHEBI:16709	1
CHEBI:16714	3
CHEBI:16742	1
CHEBI:16750	1
CHEBI:16755	4
CHEBI:16783	8
CHEBI:16792	1
CHEBI:16794	8
CHEBI:16796	10
CHEBI:16827	3
CHEBI:16828	2
CHEBI:16831	1
CHEBI:16836	2
CHEBI:168396	2
CHEBI:16856	41
CHEBI:16857	3
CHEBI:16865	3
CHEBI:16867	1
CHEBI:16870	1
CHEBI:16908	144
CHEBI:16914	3
CHEBI:16919	7
CHEBI:16927	1
CHEBI:16977	13
CHEBI:16978	3
CHEBI:16982	1
CHEBI:16985	4
CHEBI:16995	1
CHEBI:16997	1
CHEBI:16998	2
CHEBI:17013	2
CHEBI:17015	2
CHEBI:17026	10
CHEBI:17033	3
CHEBI:17044	1
CHEBI:17050	3
CHEBI:17053	20
CHEBI:17076	1
CHEBI:17111	3
CHEBI:17115	7
CHEBI:17126	2
CHEBI:17141	2
CHEBI:17148	4
CHEBI:17150	5
CHEBI:17154	4
CHEBI:171741	1
CHEBI:17191	5
CHEBI:17196	6
CHEBI:17200	2
CHEBI:17202	3
CHEBI:17203	21
CHEBI:17211	2
CHEBI:17231	1
CHEBI:17241	3
CHEBI:17245	1
CHEBI:17263	5
CHEBI:17268	2
CHEBI:17285	4
CHEBI:17287	7
CHEBI:17289	1
CHEBI:17295	7
CHEBI:17296	2
CHEBI:17303	4
CHEBI:17306	1
CHEBI:17310	1
CHEBI:17311	2
CHEBI:17336	18
CHEBI:17345	7
CHEBI:17347	3
CHEBI:17361	2
CHEBI:17368	1
CHEBI:17381	1
CHEBI:17395	1
CHEBI:17411	8
CHEBI:17431	7
CHEBI:17439	5
CHEBI:17440	2
CHEBI:17455	1
CHEBI:17456	1
CHEBI:174690	5
CHEBI:17474	2
CHEBI:17486	4
CHEBI:17489	3
CHEBI:17509	1
CHEBI:17515	1
CHEBI:17549	1
CHEBI:17552	36
CHEBI:17553	1
CHEBI:17561	13
CHEBI:17562	1
CHEBI:17568	2
CHEBI:175901	3
CHEBI:17594	1
CHEBI:17596	1
CHEBI:17600	2
CHEBI:17606	1
CHEBI:17609	4
CHEBI:17621	12
CHEBI:17622	1
CHEBI:17649	2
CHEBI:17650	4
CHEBI:17659	7
CHEBI:17660	1
CHEBI:17661	1
CHEBI:17665	4
CHEBI:17677	1
CHEBI:17688	13
CHEBI:17697	1
CHEBI:17698	1
CHEBI:17700	1
CHEBI:17709	1
CHEBI:17733	1
CHEBI:17741	2
CHEBI:17748	1
CHEBI:17750	1
CHEBI:17754	13
CHEBI:17775	1
CHEBI:17781	1
CHEBI:17816	1
CHEBI:17823	2
CHEBI:17824	16
CHEBI:17825	1
CHEBI:17833	3
CHEBI:17846	7
CHEBI:17858	2
CHEBI:17895	4
CHEBI:17929	2
CHEBI:17933	1
CHEBI:17939	12
CHEBI:17941	3
CHEBI:17945	2
CHEBI:17980	1
CHEBI:17981	1
CHEBI:17985	10
CHEBI:17992	5
CHEBI:18019	5
CHEBI:18026	1
CHEBI:18047	3
CHEBI:18050	3
CHEBI:18058	2
CHEBI:18067	2
CHEBI:18075	1
CHEBI:18077	2
CHEBI:18099	1
CHEBI:18132	2
CHEBI:18145	10
